,Player,Tm,FantPos,Age,G,Cmp,PassingAtt,PassingYDs,PassingTD,Int,RushingAtt,RushingYDs,Y/A,RushingTD,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL,TotalTD,FantasyPts,PlayerID
0,Christian McCaffrey,CAR,RB,23,16,0,2,0,0,0,287,1387,4.83,15,142,116,1005,8.66,4,0,19,355.0,McCaCh01
2,Derrick Henry,TEN,RB,25,15,0,0,0,0,0,303,1540,5.08,16,24,18,206,11.44,2,3,18,277.0,HenrDe00
3,Aaron Jones,GNB,RB,25,16,0,0,0,0,0,236,1084,4.59,16,68,49,474,9.67,3,2,19,266.0,JoneAa00
4,Ezekiel Elliott,DAL,RB,24,16,0,0,0,0,0,301,1357,4.51,12,71,54,420,7.78,2,2,14,258.0,ElliEz00
5,Dalvin Cook,MIN,RB,24,14,0,0,0,0,0,250,1135,4.54,13,63,53,519,9.79,0,2,13,239.0,CookDa01
6,Michael Thomas,NOR,WR,26,16,0,0,0,0,0,1,-9,-9.0,0,185,149,1725,11.58,9,0,9,226.0,ThomMi05
7,Travis Kelce,KAN,TE,30,16,0,0,0,0,0,1,4,4.0,1,136,97,1229,12.67,5,1,6,157.0,KelcTr00
8,Nick Chubb,CLE,RB,24,16,0,0,0,0,0,298,1494,5.01,8,49,36,278,7.72,0,3,8,219.0,ChubNi00
9,Austin Ekeler,LAC,RB,24,16,0,0,0,0,0,132,557,4.22,3,108,92,993,10.79,8,2,11,217.0,EkelAu00
10,Mark Ingram,BAL,RB,30,15,0,0,0,0,0,202,1018,5.04,10,29,26,247,9.5,5,2,15,217.0,IngrMa01
14,Chris Godwin,TAM,WR,23,14,0,0,0,0,0,1,8,8.0,0,121,86,1333,15.5,9,0,9,190.0,GodwCh00
15,George Kittle,SFO,TE,26,14,0,0,0,0,0,5,22,4.4,0,107,85,1053,12.39,5,0,5,138.0,KittGe00
16,Deshaun Watson,HOU,QB,24,15,333,495,3852,26,12,82,413,5.04,7,1,1,6,6.0,1,3,8,320.0,WatsDe00
17,Chris Carson,SEA,RB,25,15,0,0,0,0,0,278,1230,4.42,7,47,37,266,7.19,2,4,9,196.0,CarsCh00
18,Darren Waller,OAK,TE,27,16,0,0,0,0,0,2,5,2.5,0,117,90,1145,12.72,3,1,3,131.0,WallDa01
20,Saquon Barkley,NYG,RB,22,13,0,0,0,0,0,217,1003,4.62,6,73,52,438,8.42,2,0,8,192.0,BarkSa00
22,Joe Mixon,CIN,RB,23,16,0,0,0,0,0,278,1137,4.09,5,45,35,287,8.2,3,0,8,190.0,MixoJo00
23,Todd Gurley,LAR,RB,25,15,0,0,0,0,0,223,857,3.84,12,49,31,207,6.68,2,2,14,188.0,GurlTo01
25,Cooper Kupp,LAR,WR,26,16,0,1,0,0,0,2,4,2.0,0,134,94,1161,12.35,10,0,10,177.0,KuppCo00
26,Julio Jones,ATL,WR,30,15,0,0,0,0,0,2,-3,-1.5,0,157,99,1394,14.08,6,0,6,175.0,JoneJu02
28,Leonard Fournette,JAX,RB,24,15,0,0,0,0,0,265,1152,4.35,3,100,76,522,6.87,0,1,3,183.0,FourLe00
31,Amari Cooper,DAL,WR,25,16,0,0,0,0,0,1,6,6.0,0,119,79,1189,15.05,8,0,8,168.0,CoopAm00
33,A.J. Brown,TEN,WR,22,16,0,0,0,0,0,3,60,20.0,1,84,52,1051,20.21,8,0,9,165.0,BrowAJ00
34,DeAndre Hopkins,HOU,WR,27,15,1,2,6,1,1,2,18,9.0,0,150,104,1165,11.2,7,0,7,165.0,HopkDe00
35,Josh Jacobs,OAK,RB,21,13,0,0,0,0,0,242,1150,4.75,7,27,20,166,8.3,0,1,7,172.0,JacoJo01
36,Keenan Allen,LAC,WR,27,16,0,0,0,0,0,3,16,5.33,0,149,104,1199,11.53,6,0,6,158.0,AlleKe00
37,Miles Sanders,PHI,RB,22,16,0,0,0,0,0,179,818,4.57,3,63,50,509,10.18,3,1,6,169.0,SandMi01
38,Allen Robinson,CHI,WR,26,16,0,0,0,0,0,1,2,2.0,0,154,98,1147,11.7,7,0,7,157.0,RobiAl02
39,Julian Edelman,NWE,WR,33,16,2,2,47,1,0,8,27,3.38,0,153,100,1117,11.17,6,1,6,156.0,EdelJu00
40,Alvin Kamara,NOR,RB,24,14,1,1,13,0,0,171,797,4.66,5,97,81,533,6.58,1,1,6,168.0,KamaAl00
41,Marlon Mack,IND,RB,23,14,0,0,0,0,0,247,1091,4.42,8,17,14,82,5.86,0,0,8,167.0,MackMa00
42,Jarvis Landry,CLE,WR,27,16,0,0,0,0,0,1,10,10.0,0,138,83,1174,14.14,6,0,6,154.0,LandJa00
44,Tyler Lockett,SEA,WR,27,16,0,0,0,0,0,4,-5,-1.25,0,110,82,1057,12.89,8,0,8,153.0,LockTy00
45,DJ Chark,JAX,WR,23,15,0,0,0,0,0,2,20,10.0,0,118,73,1008,13.81,8,0,8,153.0,CharDJ00
46,Kenyan Drake,2TM,RB,25,14,0,0,0,0,0,170,817,4.81,8,68,50,345,6.9,0,1,8,164.0,DrakKe00
48,Phillip Lindsay,DEN,RB,25,16,0,0,0,0,0,224,1011,4.51,7,48,35,196,5.6,0,0,7,163.0,LindPh00
50,Courtland Sutton,DEN,WR,24,16,1,1,38,0,0,3,17,5.67,0,124,72,1112,15.44,6,0,6,150.0,SuttCo00
51,Stefon Diggs,MIN,WR,26,15,0,1,0,0,0,5,61,12.2,0,94,63,1130,17.94,6,3,6,149.0,DiggSt00
52,John Brown,BUF,WR,29,15,1,1,28,1,0,2,7,3.5,0,115,72,1060,14.72,6,0,6,148.0,BrowJo02
57,D.J. Moore,CAR,WR,22,15,0,0,0,0,0,6,40,6.67,0,135,87,1175,13.51,4,1,4,144.0,MoorD.00
58,Robert Woods,LAR,WR,27,15,0,0,0,0,0,17,115,6.76,1,139,90,1134,12.6,2,0,3,143.0,WoodRo02
60,Raheem Mostert,SFO,RB,27,16,0,0,0,0,0,137,772,5.64,8,22,14,180,12.86,2,2,10,151.0,MostRa00
62,Le'Veon Bell,NYJ,RB,27,15,0,0,0,0,0,245,789,3.22,3,78,66,461,6.98,1,1,4,149.0,BellLe00
64,Calvin Ridley,ATL,WR,25,13,0,0,0,0,0,2,34,17.0,0,93,63,866,13.75,7,0,7,134.0,RidlCa00
66,David Montgomery,CHI,RB,22,16,0,0,0,0,0,242,889,3.67,6,35,25,185,7.4,1,2,7,145.0,MontDa01
67,Tyler Boyd,CIN,WR,25,16,0,0,0,0,0,4,23,5.75,0,148,90,1046,11.62,5,2,5,133.0,BoydTy00
69,Deebo Samuel,SFO,WR,23,15,0,0,0,0,0,14,159,11.36,3,81,57,802,14.07,3,1,6,132.0,SamuDe00
70,Marvin Jones,DET,WR,29,13,0,0,0,0,0,2,0,0.0,0,91,62,779,12.56,9,0,9,132.0,JoneMa02
71,Carlos Hyde,HOU,RB,29,16,0,0,0,0,0,245,1070,4.37,6,16,10,42,4.2,0,2,6,143.0,HydeCa00
