Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
1,Christian McCaffrey,SFO,RB,27,6,6,0,0,0,0,0,110,553,5.03,7,27,23,177,7.70,2,2,1,9,,,125,148.0,155.0,136.5,78,1,1,McCaCh01
2,Raheem Mostert,MIA,RB,31,6,6,0,0,0,0,0,75,429,5.72,9,20,18,145,8.06,2,3,1,11,,,121,139.4,146.4,130.4,74,2,2,MostRa00
3,Tyreek Hill,MIA,WR,29,6,6,0,0,0,0,0,1,14,14.00,0,59,42,814,19.38,6,0,0,6,,,119,160.8,163.8,139.8,67,1,3,HillTy00
4,Kyren Williams,LAR,RB,23,6,5,0,0,0,0,0,97,456,4.70,6,24,13,105,8.08,1,1,0,7,,,98,111.1,117.1,104.6,52,3,4,WillKy02
5,Travis Etienne,JAX,RB,24,6,6,0,0,0,0,0,113,451,3.99,5,24,21,172,8.19,0,0,0,5,1,,94,115.3,121.3,104.8,49,4,5,EtieTr00
6,De'Von Achane,MIA,RB,22,4,1,0,0,0,0,0,38,460,12.11,5,11,9,67,7.44,2,1,1,7,,,93,101.7,105.7,97.2,47,5,6,AchaDe00
7,Zack Moss,IND,RB,26,5,5,0,0,0,0,0,96,466,4.85,4,17,14,110,7.86,1,0,0,5,1,,90,103.6,109.6,96.6,44,6,7,MossZa00
8,Stefon Diggs,BUF,WR,30,6,6,0,0,0,0,0,0,0,,0,66,49,620,12.65,5,1,1,5,,,90,139.0,143.0,114.5,40,2,8,DiggSt00
9,D.J. Moore,CHI,WR,26,6,6,0,0,0,0,0,0,0,,0,42,32,582,18.19,5,0,0,5,,,88,120.2,123.2,104.2,38,3,9,MoorD.00
10,Kenneth Walker III,SEA,RB,23,5,5,0,0,0,0,0,83,345,4.16,6,13,11,100,9.09,0,0,0,6,,,81,91.5,97.5,86.0,36,7,10,WalkKe00
11,David Montgomery,DET,RB,26,5,5,0,0,0,0,0,94,385,4.10,6,10,6,66,11.00,0,2,1,6,,,79,85.1,89.1,82.1,34,8,11,MontDa01
12,Keenan Allen,LAC,WR,31,5,5,1,1,49,1,0,2,6,3.00,0,55,42,519,12.36,4,1,0,4,,,82,124.5,127.5,103.5,33,4,12,AlleKe00
13,Derrick Henry,TEN,RB,29,6,6,1,2,2,1,0,98,425,4.34,3,13,11,117,10.64,0,0,0,3,,,76,87.3,93.3,81.8,32,9,13,HenrDe00
14,A.J. Brown,PHI,WR,26,6,6,0,0,0,0,0,0,0,,0,60,42,672,16.00,2,0,0,2,,,79,121.2,124.2,100.2,30,5,14,BrowAJ00
15,Brian Robinson Jr.,WAS,RB,24,6,6,0,0,0,0,0,77,302,3.92,3,13,11,113,10.27,2,1,0,5,1,,74,84.5,90.5,79.0,29,10,15,RobiBr01
16,Josh Allen,BUF,QB,27,6,6,147,205,1576,13,6,22,131,5.95,3,0,0,0,,0,2,1,3,,,132,132.1,145.1,138.1,28,1,16,AlleJo02
17,D'Andre Swift,PHI,RB,24,6,5,0,0,0,0,0,86,452,5.26,2,27,23,115,5.00,1,1,1,3,,,73,95.7,102.7,84.2,28,11,17,SwifDA00
18,Adam Thielen,CAR,WR,33,6,6,0,0,0,0,0,1,6,6.00,0,59,49,509,10.39,4,0,0,4,1,,78,126.5,129.5,102.0,28,6,18,ThieAd00
19,Isiah Pacheco,KAN,RB,24,6,5,0,0,0,0,0,87,387,4.45,3,19,17,135,7.94,0,0,0,3,,,70,87.2,93.2,78.7,26,12,19,PachIs00
20,Jalen Hurts,PHI,QB,25,6,6,141,213,1542,7,7,63,253,4.02,5,0,0,0,,0,1,1,5,,,129,129.0,143.0,136.0,25,2,20,HurtJa00
21,Bijan Robinson,ATL,RB,21,6,6,0,0,0,0,0,80,401,5.01,0,32,26,189,7.27,2,1,1,2,,,69,95.0,102.0,82.0,25,13,21,RobiBi01
22,Ja'Marr Chase,CIN,WR,23,6,6,0,0,0,0,0,1,2,2.00,0,73,50,556,11.12,3,0,0,3,,,74,123.8,126.8,98.8,25,7,22,ChasJa00
23,Justin Jefferson,MIN,WR,24,5,5,0,0,0,0,0,0,0,,0,53,36,571,15.86,3,1,1,3,,,73,109.1,113.1,91.1,24,8,23,JeffJu00
24,Nico Collins,HOU,WR,24,6,3,0,0,0,0,0,0,0,,0,42,29,547,18.86,3,0,0,3,,,73,101.7,104.7,87.2,24,9,24,CollNi00
25,Puka Nacua,LAR,WR,22,6,6,0,0,0,0,0,2,4,2.00,0,70,50,598,11.96,2,1,0,2,,,72,122.2,125.2,97.2,23,10,25,NacuPu00
