,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
0,1.0,Christian McCaffrey,SFO,RB,27.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,193.0,939.0,4.87,11.0,58.0,48.0,389.0,8.1,5.0,3.0,2.0,16.0,,,225.0,272.8,280.8,248.8,113.0,1.0,1.0,McCaCh01
1,2.0,Tyreek Hill,MIA,WR,29.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,6.33,0.0,120.0,88.0,1324.0,15.05,10.0,1.0,1.0,10.0,,,192.0,280.3,284.3,236.3,100.0,1.0,2.0,HillTy00
2,3.0,Josh Allen,BUF,QB,27.0,12.0,12.0,295.0,433.0,3214.0,24.0,13.0,62.0,342.0,5.52,9.0,0.0,0.0,0.0,,0.0,4.0,3.0,9.0,,3.0,287.0,286.8,308.8,299.8,90.0,1.0,3.0,AlleJo02
3,4.0,Raheem Mostert,MIA,RB,31.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,151.0,785.0,5.2,13.0,27.0,20.0,158.0,7.9,2.0,4.0,1.0,15.0,,,182.0,202.3,209.3,192.3,73.0,2.0,4.0,MostRa00
4,5.0,Keenan Allen,LAC,WR,31.0,11.0,11.0,1.0,1.0,49.0,1.0,0.0,2.0,6.0,3.0,0.0,129.0,97.0,1117.0,11.52,7.0,2.0,1.0,7.0,,,158.0,255.3,259.3,206.8,68.0,2.0,5.0,AlleKe00
5,6.0,CeeDee Lamb,DAL,WR,24.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,54.0,7.71,1.0,104.0,78.0,1066.0,13.67,6.0,2.0,1.0,7.0,1.0,,154.0,232.0,236.0,193.0,64.0,3.0,6.0,LambCe00
6,7.0,Jalen Hurts,PHI,QB,25.0,11.0,11.0,242.0,358.0,2697.0,18.0,10.0,114.0,410.0,3.6,11.0,0.0,0.0,0.0,,0.0,6.0,4.0,11.0,,,259.0,258.9,278.9,268.9,64.0,2.0,7.0,HurtJa00
7,8.0,A.J. Brown,PHI,WR,26.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,105.0,73.0,1050.0,14.38,7.0,0.0,0.0,7.0,,,147.0,220.0,223.0,183.5,58.0,4.0,8.0,BrowAJ00
8,9.0,Stefon Diggs,BUF,WR,30.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,121.0,83.0,969.0,11.67,8.0,2.0,1.0,8.0,1.0,,145.0,227.9,231.9,186.4,56.0,5.0,9.0,DiggSt00
9,10.0,Mike Evans,TAM,WR,30.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,91.0,54.0,850.0,15.74,9.0,0.0,0.0,9.0,,,139.0,193.0,196.0,166.0,50.0,6.0,10.0,EvanMi00
10,11.0,Travis Etienne,JAX,RB,24.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,194.0,726.0,3.74,7.0,48.0,36.0,312.0,8.67,1.0,0.0,0.0,8.0,2.0,,156.0,191.8,197.8,173.8,48.0,3.0,11.0,EtieTr00
11,12.0,T.J. Hockenson,MIN,TE,26.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,108.0,80.0,786.0,9.83,5.0,1.0,1.0,5.0,,,107.0,186.6,190.6,146.6,46.0,1.0,12.0,HockTJ00
12,13.0,D.J. Moore,CHI,WR,26.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,93.0,70.0,1003.0,14.33,6.0,1.0,1.0,6.0,,,134.0,204.4,208.4,169.4,46.0,7.0,13.0,MoorD.00
13,14.0,Travis Kelce,KAN,TE,34.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,88.0,70.0,732.0,10.46,5.0,1.0,1.0,5.0,,,101.0,171.2,175.2,136.2,41.0,2.0,14.0,KelcTr00
14,15.0,Amon-Ra St. Brown,DET,WR,24.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,4.33,0.0,109.0,82.0,993.0,12.11,5.0,1.0,1.0,5.0,,,129.0,210.6,214.6,169.6,40.0,8.0,15.0,StxxAm00
15,16.0,Ja'Marr Chase,CIN,WR,23.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,-2.0,0.0,112.0,75.0,914.0,12.19,6.0,1.0,0.0,6.0,,,127.0,201.8,204.8,164.3,39.0,9.0,16.0,ChasJa00
16,17.0,George Kittle,SFO,TE,30.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,61.0,46.0,667.0,14.5,5.0,0.0,0.0,5.0,,,97.0,142.9,145.9,119.9,37.0,3.0,17.0,KittGe00
17,18.0,Brian Robinson Jr.,WAS,RB,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,153.0,611.0,3.99,5.0,36.0,29.0,326.0,11.24,3.0,3.0,1.0,8.0,1.0,,142.0,170.7,177.7,156.2,34.0,4.0,18.0,RobiBr01
18,19.0,Dak Prescott,DAL,QB,30.0,11.0,11.0,259.0,370.0,2935.0,23.0,6.0,34.0,151.0,4.44,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,,1.0,227.0,226.5,238.5,232.5,33.0,3.0,19.0,PresDa01
19,20.0,Josh Jacobs,LVR,RB,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,220.0,771.0,3.5,6.0,52.0,35.0,280.0,8.0,0.0,3.0,1.0,6.0,,,139.0,174.1,181.1,156.6,32.0,5.0,20.0,JacoJo01
20,21.0,Mark Andrews,BAL,TE,28.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,45.0,544.0,12.09,6.0,1.0,0.0,6.0,,,90.0,135.4,138.4,112.9,31.0,4.0,21.0,AndrMa00
21,22.0,Brandon Aiyuk,SFO,WR,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,65.0,45.0,881.0,19.58,5.0,0.0,0.0,5.0,,,118.0,163.1,166.1,140.6,30.0,10.0,22.0,AiyuBr00
22,23.0,Tank Dell,HOU,WR,24.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,4.64,0.0,75.0,47.0,709.0,15.09,7.0,1.0,0.0,7.0,,,118.0,165.0,168.0,141.5,30.0,11.0,23.0,DellNa00
23,24.0,Justin Herbert,LAC,QB,25.0,11.0,11.0,266.0,402.0,2826.0,20.0,6.0,48.0,233.0,4.85,3.0,1.0,1.0,10.0,10.0,0.0,4.0,1.0,3.0,,1.0,223.0,224.3,237.3,229.8,30.0,4.0,24.0,HerbJu00
24,25.0,Lamar Jackson,BAL,QB,26.0,12.0,12.0,228.0,334.0,2618.0,13.0,5.0,112.0,574.0,5.13,5.0,0.0,0.0,0.0,,0.0,11.0,6.0,5.0,,,222.0,222.1,239.1,227.1,29.0,5.0,25.0,JackLa00
25,26.0,C.J. Stroud,HOU,QB,22.0,11.0,11.0,249.0,391.0,3266.0,19.0,5.0,29.0,132.0,4.55,3.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,,222.0,222.8,237.8,227.3,29.0,6.0,26.0,StroCJ00
26,27.0,Sam LaPorta,DET,TE,22.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,77.0,55.0,539.0,9.8,5.0,0.0,0.0,5.0,2.0,,88.0,142.9,145.9,115.4,29.0,5.0,27.0,LaPoSa01
