,Week,Away,Home
78,6,DEN,KAN
79,6,BAL,TEN
80,6,CAR,MIA
81,6,IND,JAX
82,6,MIN,CHI
83,6,NOR,HOU
84,6,SEA,CIN
85,6,SFO,CLE
86,6,WAS,ATL
87,6,NWE,LVR
88,6,ARI,LAR
89,6,DET,TAM
90,6,PHI,NYJ
91,6,NYG,BUF
92,6,DAL,LAC
93,7,JAX,NOR
94,7,ATL,TAM
95,7,BUF,NWE
96,7,CLE,IND
97,7,DET,BAL
98,7,LVR,CHI
99,7,WAS,NYG
100,7,ARI,SEA
101,7,PIT,LAR
102,7,GNB,DEN
103,7,LAC,KAN
104,7,MIA,PHI
105,7,SFO,MIN
106,8,TAM,BUF
107,8,ATL,TEN
108,8,HOU,CAR
109,8,JAX,PIT
110,8,MIN,GNB
111,8,NOR,IND
112,8,NWE,MIA
113,8,NYJ,NYG
114,8,PHI,WAS
115,8,LAR,DAL
116,8,CLE,SEA
117,8,CIN,SFO
118,8,KAN,DEN
119,8,BAL,ARI
120,8,CHI,LAC
121,8,LVR,DET
122,9,TEN,PIT
123,9,MIA,KAN
124,9,CHI,NOR
125,9,ARI,CLE
126,9,MIN,ATL
127,9,LAR,GNB
128,9,SEA,BAL
129,9,TAM,HOU
130,9,WAS,NWE
131,9,IND,CAR
132,9,DAL,PHI
133,9,NYG,LVR
134,9,BUF,CIN
135,9,LAC,NYJ
136,10,CAR,CHI
137,10,IND,NWE
138,10,CLE,BAL
139,10,GNB,PIT
140,10,HOU,CIN
141,10,NOR,MIN
142,10,TEN,TAM
143,10,SFO,JAX
144,10,ATL,ARI
145,10,DET,LAC
146,10,NYG,DAL
147,10,WAS,SEA
148,10,NYJ,LVR
149,10,DEN,BUF
150,11,CIN,BAL
151,11,CHI,DET
152,11,ARI,HOU
153,11,DAL,CAR
154,11,NYG,WAS
155,11,TEN,JAX
156,11,PIT,CLE
157,11,LVR,MIA
158,11,LAC,GNB
159,11,TAM,SFO
160,11,NYJ,BUF
161,11,SEA,LAR
162,11,MIN,DEN
163,11,PHI,KAN
164,12,GNB,DET
165,12,WAS,DAL
166,12,SFO,SEA
167,12,MIA,NYJ
168,12,CAR,TEN
169,12,JAX,HOU
170,12,NOR,ATL
171,12,NWE,NYG
172,12,PIT,CIN
173,12,TAM,IND
174,12,CLE,DEN
175,12,LAR,ARI
176,12,BUF,PHI
177,12,KAN,LVR
178,12,BAL,LAC
179,12,CHI,MIN
180,13,SEA,DAL
181,13,ATL,NYJ
182,13,CAR,TAM
183,13,IND,TEN
184,13,ARI,PIT
185,13,DET,NOR
186,13,MIA,WAS
187,13,LAC,NWE
188,13,DEN,HOU
189,13,CLE,LAR
190,13,SFO,PHI
191,13,KAN,GNB
192,13,CIN,JAX
193,14,NWE,PIT
194,14,CAR,NOR
195,14,IND,CIN
196,14,DET,CHI
197,14,HOU,NYJ
198,14,JAX,CLE
199,14,LAR,BAL
200,14,TAM,ATL
201,14,MIN,LVR
202,14,SEA,SFO
203,14,BUF,KAN
204,14,DEN,LAC
205,14,PHI,DAL
206,14,GNB,NYG
207,14,TEN,MIA
208,15,LAC,LVR
209,15,ATL,CAR
210,15,CHI,CLE
211,15,DEN,DET
212,15,HOU,TEN
213,15,MIN,CIN
214,15,NYG,NOR
215,15,NYJ,MIA
216,15,PIT,IND
217,15,TAM,GNB
218,15,SFO,ARI
219,15,WAS,LAR
220,15,DAL,BUF
221,15,PHI,SEA
222,15,BAL,JAX
223,15,KAN,NWE
224,16,NOR,LAR
225,16,CIN,PIT
226,16,BUF,LAC
227,16,CLE,HOU
228,16,IND,ATL
229,16,DET,MIN
230,16,GNB,CAR
231,16,SEA,TEN
232,16,WAS,NYJ
233,16,JAX,TAM
234,16,ARI,CHI
235,16,DAL,MIA
236,16,NWE,DEN
237,16,LVR,KAN
238,16,NYG,PHI
239,16,BAL,SFO
240,17,NYJ,CLE
241,17,DET,DAL
242,17,ATL,CHI
243,17,CAR,JAX
244,17,ARI,PHI
245,17,MIA,BAL
246,17,NOR,TAM
247,17,NWE,BUF
248,17,TEN,HOU
249,17,LVR,IND
250,17,LAR,NYG
251,17,SFO,WAS
252,17,PIT,SEA
253,17,CIN,KAN
254,17,LAC,DEN
255,17,GNB,MIN
256,18,ATL,NOR
257,18,BUF,MIA
258,18,CHI,GNB
259,18,CLE,CIN
260,18,DAL,WAS
261,18,DEN,LVR
262,18,HOU,IND
263,18,JAX,TEN
264,18,KAN,LAC
265,18,MIN,DET
266,18,NYJ,NWE
267,18,PHI,NYG
268,18,PIT,BAL
269,18,LAR,SFO
270,18,SEA,ARI
271,18,TAM,CAR
